date,000312.OF,002236.OF,003194.OF,004195.OF,004409.OF,004744.OF,005562.OF,164304.OF,690008.OF,,-0.325910697,0.463554316
2015/4/30,0.045014471,,,,,,,,0.098608266,,0.137643619,
2015/5/4,0.045231557,,,,,,,,0.102102161,,,
2015/5/5,0.040681697,,,,,,,,0.121812375,,,
2015/5/6,0.043853936,,,,,,,,0.09821606,,,
2015/5/7,0.062848928,,,,,,,,0.145193725,,,
2015/5/8,0.073698998,,,,,,,,0.172207978,,,
2015/5/11,0.072758505,,,,,,,,0.159015054,,,
2015/5/12,0.073919093,,,,,,,,0.172455904,,,
2015/5/13,0.075936267,,,,,,,,0.184839115,,,
2015/5/14,0.076244081,,,,,,,,0.251056117,,,
2015/5/15,0.06997893,,,,,,,,0.319036235,,,
2015/5/18,0.073236979,,,,,,,,0.258891132,,,
2015/5/19,0.070552995,,,,,,,,0.261835812,,,
2015/5/20,0.073809255,,,,,,,,0.262142767,,,
2015/5/21,0.071835243,,,,,,,,0.258520309,,,
2015/5/22,0.090480298,,,,,,,,0.190201224,,,
2015/5/25,0.094180862,,,,,,,,0.251540739,,,
2015/5/26,0.092647246,,,,,,,,0.250190205,,,
2015/5/27,0.095700418,,,,,,,,0.338086655,,,
2015/5/28,0.095515761,,,,,,,,0.348541476,,,
2015/5/29,0.091383985,,,,,,,,0.34570253,,,
2015/6/1,0.092800335,,,,,,,,0.342615136,,,
2015/6/2,0.092951348,,,,,,,,0.361301564,,,
2015/6/3,0.092802569,,,,,,,,0.360911266,,,
2015/6/4,0.089570467,,,,,,,,0.403183446,,,
2015/6/5,0.08950363,,,,,,,,0.403864884,,,
2015/6/8,0.075739391,,,,,,,,0.105972634,,,
2015/6/9,0.079984159,,,,,,,,-0.033517154,,,
2015/6/10,0.062976639,,,,,,,,0.026925409,,,
2015/6/11,0.064577356,,,,,,,,0.009265999,,,
2015/6/12,0.064651408,,,,,,,,0.015025594,,,
2015/6/15,0.064584597,,,,,,,,0.015090426,,,
2015/6/16,0.056379197,,,,,,,,0.047268229,,,
2015/6/17,0.056427973,,,,,,,,0.033515501,,,
2015/6/18,0.056477601,,,,,,,,-0.007302516,,,
2015/6/19,0.063125784,,,,,,,,-0.022191754,,,
2015/6/23,0.069525421,,,,,,,,-0.055830109,,,
2015/6/24,0.070441576,,,,,,,,-0.045849296,,,
2015/6/25,0.070935761,,,,,,,,-0.030437614,,,
2015/6/26,0.071365913,,,,,,,,-0.026726739,,,
2015/6/29,0.02260548,,,,,,,,0.050684807,,,
2015/6/30,0.006619649,,,,,,,,0.111798693,,,
2015/7/1,0.010784071,,,,,,,,0.111215427,,,
2015/7/2,0.0321601,,,,,,,,0.027449566,,,
2015/7/3,0.024973352,,,,,,,,0.073096595,,,
2015/7/6,0.035472241,,,,,,,,0.085428141,,,
2015/7/7,0.060494393,,,,,,,,0.076146531,,,
2015/7/8,0.090518754,,,,,,,,0.141292609,,,
2015/7/9,0.075102217,,,,,,,,0.017132347,,,
2015/7/10,0.068986806,,,,,,,,-0.034063264,,,
2015/7/13,0.074348795,,,,,,,,-0.045467353,,,
2015/7/14,0.076621246,,,,,,,,-0.161834945,,,
2015/7/15,0.062735517,,,,,,,,-0.133163989,,,
2015/7/16,0.05931833,,,,,,,,-0.142273005,,,
2015/7/17,0.015551771,,,,,,,,-0.143949141,,,
2015/7/20,0.01548324,,,,,,,,-0.142623222,,,
2015/7/21,0.015181576,,,,,,,,-0.144676541,,,
2015/7/22,0.015964249,,,,,,,,-0.143353408,,,
2015/7/23,0.016121316,,,,,,,,-0.14384073,,,
2015/7/24,0.005335258,,,,,,,,-0.116043564,,,
2015/7/27,0.012966153,,,,,,,,-0.079473934,,,
2015/7/28,0.023114439,,,,,,,,-0.211320689,,,
2015/7/29,0.015979289,,,,,,,,-0.260858987,,,
2015/7/30,0.012363813,,,,,,,,-0.266172855,,,
2015/7/31,0.018308918,,,,,,,,-0.263758108,,,
2015/8/3,0.01894752,,,,,,,,-0.297414614,,,
2015/8/4,0.016076859,,,,,,,,-0.312236659,,,
2015/8/5,0.017215193,,,,,,,,-0.331336941,,,
2015/8/6,0.016567933,,,,,,,,-0.311518227,,,
2015/8/7,0.011348076,,,,,,,,-0.315900482,,,
2015/8/10,0.012048286,,,,,,,,-0.34212311,,,
2015/8/11,0.005230982,,,,,,,,-0.299431774,,,
2015/8/12,0.012220366,,,,,,,,-0.277393372,,,
2015/8/13,0.014110619,,,,,,,,-0.285640114,,,
2015/8/14,0.011269323,,,,,,,,-0.228980633,,,
2015/8/17,0.008211514,,,,,,,,-0.220382653,,,
2015/8/18,0.007648823,,,,,,,,-0.220254451,,,
2015/8/19,0.006327169,,,,,,,,-0.220050125,,,
2015/8/20,0.010820635,,,,,,,,-0.196583527,,,
2015/8/21,0.017632504,,,,,,,,-0.221775797,,,
2015/8/24,0.001271924,,,,,,,,-0.211266008,,,
2015/8/25,-0.004591162,,,,,,,,-0.155198629,,,
2015/8/26,0.026115977,,,,,,,,-0.539049944,,,
2015/8/27,-0.006163076,,,,,,,,-0.53256648,,,
2015/8/28,0.008718579,,,,,,,,-0.590067522,,,
2015/8/31,0.012802458,,,,,,,,-0.560542212,,,
2015/9/1,-0.010433718,,,,,,,,-0.412733745,,,
2015/9/2,-0.021059053,,,,,,,,-0.52375645,,,
2015/9/7,-0.028511607,,,,,,,,-0.52620188,,,
2015/9/8,-0.023331664,,,,,,,,-0.516193418,,,
2015/9/9,-0.023265538,,,,,,,,-0.516148522,,,
2015/9/10,-0.009021055,,,,,,,,-0.476889304,,,
2015/9/11,-0.008916363,,,,,,,-0.004477788,-0.477429184,,,
2015/9/14,0.022591351,,,,,,,-0.005323392,-0.507141803,,,
2015/9/15,0.028495073,,,,,,,-0.043872634,-0.537265181,,,
2015/9/16,0.023313445,,,,,,,-0.027008074,-0.533714156,,,
2015/9/17,0.023623055,,,,,,,-0.045215665,-0.533949508,,,
2015/9/18,0.023130575,,,,,,,-0.017801218,-0.524122775,,,
