instrument_id,signal_name,value
000312.OF,tilt_score,-0.8706720827357635
000312.OF,tilt_weight,0.03453675385602933
000602.OF,tilt_score,0.0
000602.OF,tilt_weight,1.0
002236.OF,tilt_score,0.6719928994146934
002236.OF,tilt_weight,0.937544481752939
003194.OF,tilt_score,0.2569950806078544
003194.OF,tilt_weight,0.8660392814008014
003377.OF,tilt_score,0.0
003377.OF,tilt_weight,1.0
004195.OF,tilt_score,0.9840337883432433
004195.OF,tilt_weight,0.8701745141562633
004253.OF,tilt_score,0.0
004253.OF,tilt_weight,1.0
004409.OF,tilt_score,-0.6636276029050231
004409.OF,tilt_weight,0.020639477510223377
004744.OF,tilt_score,-0.41650156649708814
004744.OF,tilt_weight,0.04181604073683758
005562.OF,tilt_score,-0.5005929003738775
005562.OF,tilt_weight,0.09942396474316921
164304.OF,tilt_score,0.2829233399629004
164304.OF,tilt_weight,0.11739227128000683
690008.OF,tilt_score,-0.5028790156404078
690008.OF,tilt_weight,0.012433214563729884
